split,sample_id,local_idx,mae_temp,rmse_temp,max_abs_error,peak_true,peak_pred,peak_abs_error,avg_true,avg_pred,avg_abs_error,grad_true,grad_pred,grad_abs_error,phys_residual_mse,architecture,workload,N,source
synthetic_extrapolation,synthetic_extrapolation_standard_stripes_128_00000,0,0.3061100244522095,0.34275388717651367,0.6418876647949219,29.17049217224121,29.041950225830078,0.1285419464111328,27.299318313598633,27.39513397216797,0.09581565856933594,0.08940654993057251,0.07437107712030411,0.023606732487678528,9.820274863159284e-05,standard,stripes,128,synthetic_extrapolation
synthetic_extrapolation,synthetic_extrapolation_standard_uniform_128_00001,1,0.3805544376373291,0.38252755999565125,0.5154285430908203,29.760522842407227,29.61910057067871,0.14142227172851562,29.760526657104492,29.379966735839844,0.38055992126464844,0.0,0.0048486231826245785,0.0048486231826245785,6.621703505516052e-05,standard,uniform,128,synthetic_extrapolation
synthetic_extrapolation,synthetic_extrapolation_standard_stripes_128_00002,2,0.2379697561264038,0.30525094270706177,0.7901382446289062,27.996543884277344,28.509641647338867,0.5130977630615234,26.65943145751953,26.892051696777344,0.2326202392578125,0.06714501976966858,0.05875294655561447,0.01681961864233017,6.60642544971779e-05,standard,stripes,128,synthetic_extrapolation
synthetic_extrapolation,synthetic_extrapolation_standard_hotspot_128_00003,3,0.4857826828956604,0.49342766404151917,0.6668128967285156,29.63958740234375,29.117807388305664,0.5217800140380859,25.63852310180664,26.086097717285156,0.4475746154785156,0.01655414327979088,0.016944240778684616,0.008798928931355476,0.00011665931378956884,standard,hotspot,128,synthetic_extrapolation
synthetic_extrapolation,synthetic_extrapolation_standard_checkerboard_128_00004,4,0.09203988313674927,0.10004796087741852,0.6161346435546875,27.172605514526367,27.788740158081055,0.6161346435546875,27.056087493896484,27.14767837524414,0.09159088134765625,0.0670967549085617,0.056289710104465485,0.012562843039631844,7.75810913182795e-05,standard,checkerboard,128,synthetic_extrapolation
synthetic_extrapolation,synthetic_extrapolation_standard_stripes_128_00005,5,0.23068569600582123,0.2655521333217621,0.4902229309082031,28.996417999267578,28.948713302612305,0.04770469665527344,27.250015258789062,27.345401763916016,0.09538650512695312,0.10423349589109421,0.08915415406227112,0.023805763572454453,8.147480548359454e-05,standard,stripes,128,synthetic_extrapolation
synthetic_extrapolation,synthetic_extrapolation_standard_quadrant_128_00006,6,0.45605629682540894,0.46445345878601074,0.6362190246582031,29.35640525817871,28.949981689453125,0.40642356872558594,26.490968704223633,26.750110626220703,0.2591419219970703,0.015041723847389221,0.016366753727197647,0.009087743237614632,0.00010693196236388758,standard,quadrant,128,synthetic_extrapolation
synthetic_extrapolation,synthetic_extrapolation_standard_hotspot_128_00007,7,0.5357108116149902,0.5485715270042419,0.6709766387939453,28.19615364074707,28.092559814453125,0.10359382629394531,25.23507308959961,25.766511917114258,0.5314388275146484,0.010627525858581066,0.013192284852266312,0.007814678363502026,0.0001339544978691265,standard,hotspot,128,synthetic_extrapolation
synthetic_extrapolation,synthetic_extrapolation_standard_quadrant_128_00008,8,0.4616393446922302,0.4929940700531006,0.7611465454101562,28.540529251098633,28.407148361206055,0.13338088989257812,26.0317325592041,26.403396606445312,0.37166404724121094,0.013169605284929276,0.014493564143776894,0.007734338287264109,0.00011170281504746526,standard,quadrant,128,synthetic_extrapolation
synthetic_extrapolation,synthetic_extrapolation_standard_hotspot_128_00009,9,0.5368970632553101,0.5540085434913635,0.6755428314208984,28.47370147705078,28.36678695678711,0.10691452026367188,25.271018981933594,25.802879333496094,0.5318603515625,0.012792624533176422,0.015071799047291279,0.007937198504805565,0.0001360361638944596,standard,hotspot,128,synthetic_extrapolation
synthetic_extrapolation,synthetic_extrapolation_standard_multihotspot_128_00010,10,0.47374165058135986,0.4870113134384155,0.6797695159912109,29.378934860229492,29.037776947021484,0.3411579132080078,25.64699935913086,26.093318939208984,0.446319580078125,0.02435440942645073,0.023108046501874924,0.009938441216945648,0.00011717093002516776,standard,multihotspot,128,synthetic_extrapolation
