sample_id,local_idx,architecture,workload,N,source,mae_before,rmse_before,peak_err_before,avg_err_before,grad_err_before,mae_after,rmse_after,peak_err_after,avg_err_after,grad_err_after,mae_improvement,rmse_improvement,peak_err_improvement,avg_err_improvement,grad_err_improvement,phys_residual_mse_after
synthetic_extrapolation_standard_stripes_128_00000,0,standard,stripes,128,synthetic_extrapolation,0.3061100244522095,0.34275388717651367,0.1285419464111328,0.09581565856933594,0.023606732487678528,0.09231270849704742,0.1065475195646286,0.08188438415527344,0.03507804870605469,0.006381202023476362,0.21379731595516205,0.23620636761188507,0.046657562255859375,0.06073760986328125,0.017225530464202166,5.91838261243538e-06
synthetic_extrapolation_standard_uniform_128_00001,1,standard,uniform,128,synthetic_extrapolation,0.3805544376373291,0.38252755999565125,0.14142227172851562,0.38055992126464844,0.0048486231826245785,0.13826492428779602,0.13880902528762817,0.07698440551757812,0.13826942443847656,0.0004042083164677024,0.24228951334953308,0.24371853470802307,0.0644378662109375,0.24229049682617188,0.004444414866156876,7.766130693198647e-06
synthetic_extrapolation_standard_stripes_128_00002,2,standard,stripes,128,synthetic_extrapolation,0.2379697561264038,0.30525094270706177,0.5130977630615234,0.2326202392578125,0.01681961864233017,0.08563458919525146,0.10283482074737549,0.1558399200439453,0.08490180969238281,0.004066003952175379,0.15233516693115234,0.20241612195968628,0.3572578430175781,0.1477184295654297,0.012753614690154791,4.755821919388836e-06
synthetic_extrapolation_standard_hotspot_128_00003,3,standard,hotspot,128,synthetic_extrapolation,0.4857826828956604,0.49342766404151917,0.5217800140380859,0.4475746154785156,0.008798928931355476,0.17336508631706238,0.17710137367248535,0.176177978515625,0.16304397583007812,0.0019419360905885696,0.312417596578598,0.3163262903690338,0.34560203552246094,0.2845306396484375,0.006856992840766907,1.2823423276131507e-05
synthetic_extrapolation_standard_checkerboard_128_00004,4,standard,checkerboard,128,synthetic_extrapolation,0.09203988313674927,0.10004796087741852,0.6161346435546875,0.09159088134765625,0.012562843039631844,0.0335896834731102,0.03606432303786278,0.14215660095214844,0.033588409423828125,0.0003661797381937504,0.05845019966363907,0.06398363783955574,0.47397804260253906,0.058002471923828125,0.012196663301438093,5.190224214857153e-07
synthetic_extrapolation_standard_stripes_128_00005,5,standard,stripes,128,synthetic_extrapolation,0.23068569600582123,0.2655521333217621,0.04770469665527344,0.09538650512695312,0.023805763572454453,0.06278934329748154,0.07520949095487595,0.0523529052734375,0.034923553466796875,0.00572486175224185,0.1678963527083397,0.19034264236688614,-0.0046482086181640625,0.06046295166015625,0.018080901820212603,3.354190084792208e-06
synthetic_extrapolation_standard_quadrant_128_00006,6,standard,quadrant,128,synthetic_extrapolation,0.45605629682540894,0.46445345878601074,0.40642356872558594,0.2591419219970703,0.009087743237614632,0.16234855353832245,0.16650980710983276,0.15058517456054688,0.09444999694824219,0.001810360001400113,0.2937077432870865,0.297943651676178,0.25583839416503906,0.16469192504882812,0.0072773832362145185,1.1360580174368806e-05
synthetic_extrapolation_standard_hotspot_128_00007,7,standard,hotspot,128,synthetic_extrapolation,0.5357108116149902,0.5485715270042419,0.10359382629394531,0.5314388275146484,0.007814678363502026,0.19409656524658203,0.19835840165615082,0.030237197875976562,0.19358062744140625,0.0015067735221236944,0.3416142463684082,0.3502131253480911,0.07335662841796875,0.3378582000732422,0.006307904841378331,1.5886293112998828e-05
synthetic_extrapolation_standard_quadrant_128_00008,8,standard,quadrant,128,synthetic_extrapolation,0.4616393446922302,0.4929940700531006,0.13338088989257812,0.37166404724121094,0.007734338287264109,0.16568756103515625,0.17766697704792023,0.07173728942871094,0.1354236602783203,0.0015965360216796398,0.295951783657074,0.31532709300518036,0.06164360046386719,0.23624038696289062,0.006137802265584469,1.2822612916352227e-05
synthetic_extrapolation_standard_hotspot_128_00009,9,standard,hotspot,128,synthetic_extrapolation,0.5368970632553101,0.5540085434913635,0.10691452026367188,0.5318603515625,0.007937198504805565,0.19462884962558746,0.20043589174747467,0.03547859191894531,0.19372940063476562,0.0015289158327504992,0.3422682136297226,0.35357265174388885,0.07143592834472656,0.3381309509277344,0.006408282672055066,1.620064904273022e-05
