case_id,sample_id,architecture,workload,N,shape,source,activity_min,activity_max,activity_mean,temp_min,temp_max,temp_mean
0,synthetic_standard_stripes_2_00000,standard,stripes,2,2x2,synthetic,0.43887844681739807,10.434391975402832,5.436635494232178,27.049236297607422,27.299121856689453,27.174179077148438
1,synthetic_standard_uniform_2_00001,standard,uniform,2,2x2,synthetic,11.90248966217041,11.90248966217041,11.90248966217041,29.760522842407227,29.760522842407227,29.760522842407227
2,synthetic_standard_stripes_2_00002,standard,stripes,2,2x2,synthetic,0.7860643267631531,7.512454509735107,4.149259567260742,26.575157165527344,26.743316650390625,26.659236907958984
3,synthetic_standard_hotspot_2_00003,standard,hotspot,2,2x2,synthetic,9.483192443847656,9.483192443847656,9.483192443847656,28.792728424072266,28.792728424072266,28.792728424072266
4,synthetic_standard_multihotspot_2_00004,standard,multihotspot,2,2x2,synthetic,8.13619327545166,8.13619327545166,8.13619327545166,28.25400161743164,28.25400161743164,28.25400161743164
5,synthetic_standard_hotspot_2_00005,standard,hotspot,2,2x2,synthetic,8.255269050598145,8.255269050598145,8.255269050598145,28.30158233642578,28.30158233642578,28.30158233642578
6,synthetic_standard_multihotspot_2_00006,standard,multihotspot,2,2x2,synthetic,11.853489875793457,11.853489875793457,11.853489875793457,29.740869522094727,29.740869522094727,29.740869522094727
7,synthetic_standard_quadrant_2_00007,standard,quadrant,2,2x2,synthetic,1.1675752401351929,7.973193645477295,2.8689796924591064,26.083961486816406,26.25410270690918,26.147077560424805
8,synthetic_standard_uniform_2_00008,standard,uniform,2,2x2,synthetic,8.617157936096191,8.617157936096191,8.617157936096191,28.446359634399414,28.446359634399414,28.446359634399414
9,synthetic_standard_multihotspot_2_00009,standard,multihotspot,2,2x2,synthetic,8.62912654876709,8.62912654876709,8.62912654876709,28.451126098632812,28.451126098632812,28.451126098632812
10,synthetic_standard_hotspot_2_00010,standard,hotspot,2,2x2,synthetic,9.878223419189453,9.878223419189453,9.878223419189453,28.95075225830078,28.95075225830078,28.95075225830078
11,synthetic_standard_uniform_2_00011,standard,uniform,2,2x2,synthetic,9.902819633483887,9.902819633483887,9.902819633483887,28.9605712890625,28.9605712890625,28.9605712890625
12,synthetic_standard_checkerboard_2_00012,standard,checkerboard,2,2x2,synthetic,0.4371519088745117,10.679256439208984,5.558204174041748,27.156734466552734,27.288888931274414,27.222810745239258
13,synthetic_standard_stripes_2_00013,standard,stripes,2,2x2,synthetic,0.700265109539032,8.249466896057129,4.4748663902282715,26.69502830505371,26.883758544921875,26.78939437866211
14,synthetic_standard_stripes_2_00014,standard,stripes,2,2x2,synthetic,0.8047643303871155,8.54991340637207,4.677338600158691,26.77361488342285,26.96724510192871,26.87042999267578
15,synthetic_standard_multihotspot_2_00015,standard,multihotspot,2,2x2,synthetic,7.036811351776123,7.036811351776123,7.036811351776123,27.814254760742188,27.814254760742188,27.814254760742188
16,synthetic_standard_stripes_2_00016,standard,stripes,2,2x2,synthetic,0.6648508310317993,9.820661544799805,5.242755889892578,26.982189178466797,27.211078643798828,27.096633911132812
17,synthetic_standard_stripes_2_00017,standard,stripes,2,2x2,synthetic,0.4589157700538635,9.274964332580566,4.866940021514893,26.836074829101562,27.05647087097168,26.946273803710938
18,synthetic_standard_uniform_2_00018,standard,uniform,2,2x2,synthetic,10.673611640930176,10.673611640930176,10.673611640930176,29.268901824951172,29.268901824951172,29.268901824951172
19,synthetic_standard_hotspot_2_00019,standard,hotspot,2,2x2,synthetic,10.260944366455078,10.260944366455078,10.260944366455078,29.10391616821289,29.10391616821289,29.10391616821289
20,synthetic_standard_multihotspot_2_00020,standard,multihotspot,2,2x2,synthetic,8.519750595092773,8.519750595092773,8.519750595092773,28.407352447509766,28.407352447509766,28.407352447509766
21,synthetic_standard_uniform_2_00021,standard,uniform,2,2x2,synthetic,9.746869087219238,9.746869087219238,9.746869087219238,28.898208618164062,28.898208618164062,28.898208618164062
22,synthetic_standard_checkerboard_2_00022,standard,checkerboard,2,2x2,synthetic,0.8534030914306641,9.634114265441895,5.243758678436279,27.040353775024414,27.153654098510742,27.097003936767578
23,synthetic_standard_checkerboard_2_00023,standard,checkerboard,2,2x2,synthetic,0.2813839018344879,8.233210563659668,4.257297039031982,26.651168823242188,26.753774642944336,26.702472686767578
24,synthetic_standard_checkerboard_2_00024,standard,checkerboard,2,2x2,synthetic,0.5570321679115295,10.647665977478027,5.602349281311035,27.175378799438477,27.30558204650879,27.240480422973633
25,synthetic_standard_stripes_2_00025,standard,stripes,2,2x2,synthetic,0.664313554763794,8.625547409057617,4.644930839538574,26.75787925720215,26.9569091796875,26.85739517211914
